Date,Open,High,Low,Close,Adj Close,Volume
1999-02-01,0.039583,0.054688,0.036068,0.045703,0.041920,3146592000
1999-03-01,0.046875,0.047917,0.038021,0.044010,0.040367,2014512000
1999-04-01,0.044010,0.045833,0.033333,0.038021,0.034874,1767024000
1999-05-01,0.038411,0.044531,0.034375,0.035547,0.032605,2482512000
1999-06-01,0.035417,0.039844,0.034115,0.039844,0.036546,2366160000
1999-07-01,0.039844,0.048177,0.035677,0.041927,0.038457,3764064000
1999-08-01,0.041927,0.059115,0.040625,0.058594,0.053744,7894800000
1999-09-01,0.058594,0.058594,0.034896,0.040104,0.036784,6992640000
1999-10-01,0.039453,0.052083,0.037760,0.046094,0.042279,7953504000
1999-11-01,0.045313,0.092448,0.045313,0.072135,0.066164,13917936000
1999-12-01,0.072135,0.098828,0.072135,0.097786,0.089692,4917552000
2000-01-01,0.098438,0.100521,0.072917,0.077214,0.070823,4941456000
2000-02-01,0.077344,0.142188,0.074479,0.133333,0.122297,9160848000
2000-03-01,0.133333,0.312500,0.119792,0.176009,0.161440,17552160000
2000-04-01,0.174414,0.229948,0.118750,0.185677,0.170308,6481728000
2000-05-01,0.192708,0.245703,0.157292,0.237760,0.218080,8695584000
2000-06-01,0.244792,0.366667,0.238281,0.264844,0.242922,13271304000
2000-07-01,0.266667,0.322135,0.208333,0.250000,0.229307,7280352000
2000-08-01,0.250000,0.343750,0.225000,0.330729,0.303354,6079248000
2000-09-01,0.337500,0.355729,0.260417,0.341146,0.312908,5868576000
2000-10-01,0.345833,0.359375,0.219010,0.258919,0.237487,8841576000
2000-11-01,0.252604,0.333333,0.151563,0.168750,0.154782,8675472000
2000-12-01,0.179167,0.211458,0.114583,0.136523,0.125223,14453208000
2001-01-01,0.137500,0.237500,0.117708,0.215104,0.197299,10728648000
2001-02-01,0.215104,0.254167,0.170833,0.186198,0.170786,11644824000
2001-03-01,0.183854,0.298698,0.166667,0.270508,0.248117,28940472000
2001-04-01,0.269792,0.374958,0.224219,0.347083,0.318354,31102920000
2001-05-01,0.348333,0.416667,0.314792,0.356708,0.327182,28041600000
2001-06-01,0.359167,0.415000,0.345625,0.386458,0.354470,20156760000
2001-07-01,0.371167,0.377917,0.280250,0.337083,0.309182,21604512000
2001-08-01,0.343708,0.378000,0.334375,0.352958,0.323743,29863464000
2001-09-01,0.352000,0.352000,0.212583,0.228917,0.209969,21169188000
2001-10-01,0.228750,0.420333,0.188833,0.357167,0.327603,26377200000
2001-11-01,0.361750,0.466583,0.356250,0.455333,0.417644,28734600000
2001-12-01,0.445750,0.585417,0.440417,0.557500,0.511354,17648640000
2002-01-01,0.559917,0.605500,0.498000,0.547833,0.502487,23589180000
2002-02-01,0.546917,0.552750,0.410417,0.425083,0.389898,30995268000
2002-03-01,0.429167,0.504083,0.348917,0.369667,0.339069,27269724000
2002-04-01,0.349167,0.372417,0.253083,0.290083,0.266072,32098620000
2002-05-01,0.285333,0.338750,0.255917,0.278833,0.255753,27800688000
2002-06-01,0.272083,0.280333,0.136917,0.143167,0.131317,28839096000
2002-07-01,0.142500,0.194583,0.091167,0.092250,0.084614,32480220000
2002-08-01,0.093000,0.112083,0.070750,0.084167,0.077200,24041412000
2002-09-01,0.080167,0.099167,0.069583,0.071333,0.065429,17827740000
2002-10-01,0.071917,0.099833,0.060000,0.099167,0.090959,18364572000
2002-11-01,0.097667,0.148167,0.085167,0.142750,0.130934,34187196000
2002-12-01,0.150333,0.152250,0.093250,0.095917,0.087978,21906672000
2003-01-01,0.100000,0.115667,0.079667,0.086000,0.078882,23529132000
2003-02-01,0.087583,0.112417,0.077750,0.105167,0.096462,21243756000
2003-03-01,0.106417,0.123583,0.100000,0.107333,0.098449,18003156000
2003-04-01,0.109583,0.122500,0.107167,0.119417,0.109532,12578136000
2003-05-01,0.118583,0.221917,0.117917,0.218083,0.200032,37281804000
2003-06-01,0.223750,0.231250,0.183833,0.190917,0.175114,23196180000
2003-07-01,0.188500,0.214583,0.153000,0.159083,0.145915,19904292000
2003-08-01,0.159167,0.178917,0.127167,0.151417,0.138884,21743736000
2003-09-01,0.154083,0.178917,0.130833,0.133083,0.122067,23588952000
2003-10-01,0.133333,0.156333,0.132917,0.147333,0.135138,13788444000
2003-11-01,0.146583,0.184333,0.145083,0.176917,0.162273,17760924000
2003-12-01,0.178917,0.201667,0.162500,0.193333,0.177330,12347688000
2004-01-01,0.196417,0.215667,0.176250,0.185417,0.170069,12401580000
2004-02-01,0.186917,0.202750,0.182417,0.185417,0.170069,11862804000
2004-03-01,0.184917,0.222333,0.171917,0.220000,0.201790,13192248000
2004-04-01,0.220250,0.227917,0.170333,0.171000,0.156846,12362592000
2004-05-01,0.172833,0.196500,0.165833,0.195417,0.179242,10290336000
2004-06-01,0.192083,0.200917,0.160667,0.170583,0.156463,9524892000
2004-07-01,0.172500,0.172750,0.115333,0.128500,0.117864,11743992000
2004-08-01,0.128583,0.130833,0.077500,0.103833,0.095238,22610472000
2004-09-01,0.102500,0.126500,0.101167,0.121000,0.110984,15624108000
2004-10-01,0.121583,0.132417,0.109000,0.120583,0.110602,16351632000
2004-11-01,0.122250,0.171083,0.120667,0.159417,0.146222,18380604000
2004-12-01,0.160833,0.208000,0.159667,0.196333,0.180082,17652936000
2005-01-01,0.203167,0.206000,0.170500,0.191000,0.175190,13718760000
2005-02-01,0.190833,0.244083,0.189667,0.241583,0.221586,17263920000
2005-03-01,0.242667,0.246667,0.195583,0.198000,0.181611,15128592000
2005-04-01,0.200417,0.203250,0.174333,0.182750,0.167623,9788556000
2005-05-01,0.184917,0.232583,0.179333,0.225833,0.207140,14199696000
2005-06-01,0.224333,0.244917,0.214750,0.222667,0.204236,16206264000
2005-07-01,0.221917,0.244167,0.211833,0.225500,0.206835,13622904000
2005-08-01,0.226833,0.258833,0.225333,0.255667,0.234505,14333544000
2005-09-01,0.254917,0.288250,0.248667,0.285667,0.262021,11099136000
2005-10-01,0.289000,0.299583,0.254250,0.279583,0.256441,9381960000
2005-11-01,0.279583,0.320833,0.273667,0.301250,0.276315,13110036000
2005-12-01,0.303750,0.318667,0.295167,0.304667,0.279449,7663404000
2006-01-01,0.306417,0.389667,0.305417,0.374667,0.343655,9519288000
2006-02-01,0.367917,0.422667,0.357250,0.392750,0.360241,11871252000
2006-03-01,0.394167,0.485250,0.385500,0.477167,0.437670,15777384000
2006-04-01,0.479667,0.514000,0.462167,0.487000,0.446689,13351836000
2006-05-01,0.490333,0.531333,0.380667,0.383000,0.351298,14381178000
2006-06-01,0.387333,0.411500,0.318667,0.354833,0.325462,12274956000
2006-07-01,0.363000,0.378500,0.286167,0.369000,0.338457,12104742000
2006-08-01,0.364500,0.492000,0.347500,0.485167,0.445008,16247604000
2006-09-01,0.478000,0.520833,0.439000,0.493167,0.452346,11497302000
2006-10-01,0.490833,0.581167,0.461167,0.581167,0.533062,13568772000
2006-11-01,0.573500,0.621500,0.525333,0.616500,0.565470,13455474000
2006-12-01,0.609667,0.649333,0.581667,0.616833,0.565776,10008768000
2007-01-01,0.617833,0.625333,0.498500,0.510833,0.468550,17067402000
2007-02-01,0.506000,0.581833,0.505000,0.516667,0.473901,13470912000
2007-03-01,0.505500,0.526667,0.467333,0.479667,0.439963,14723250000
2007-04-01,0.478500,0.565667,0.471333,0.548167,0.502794,13520172000
2007-05-01,0.558167,0.600000,0.536667,0.577333,0.529545,12620946000
2007-06-01,0.583833,0.731167,0.573667,0.688500,0.631511,14460498000
2007-07-01,0.698333,0.798833,0.696167,0.762667,0.699539,10421874000
2007-08-01,0.751667,0.855833,0.675000,0.852667,0.782089,15690222000
2007-09-01,0.856500,0.930000,0.795750,0.906000,0.831008,9779846000
2007-10-01,0.913750,0.991750,0.814000,0.884500,0.811287,10668964000
2007-11-01,0.870750,0.955000,0.727750,0.788500,0.723233,12056668000
2007-12-01,0.800000,0.910000,0.783750,0.850500,0.780101,7581432000
2008-01-01,0.853000,0.856250,0.558250,0.614750,0.563865,15496232000
2008-02-01,0.613500,0.689750,0.529000,0.534750,0.490487,13630144000
2008-03-01,0.534000,0.541750,0.432750,0.494750,0.453798,15935928000
