Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.130022,0.138951,0.124442,0.129464,0.099919,6366416000
1985-02-01,0.129464,0.137277,0.110491,0.110491,0.085276,4733388800
1985-03-01,0.110491,0.116071,0.092634,0.098772,0.076231,4615587200
1985-04-01,0.098772,0.102679,0.087612,0.094866,0.073217,2868028800
1985-05-01,0.094866,0.099330,0.075335,0.077567,0.059865,4639129600
1985-06-01,0.075893,0.082589,0.065848,0.080357,0.062019,5811388800
1985-07-01,0.080915,0.081473,0.070871,0.070871,0.054698,2600595200
1985-08-01,0.070871,0.071987,0.064732,0.066964,0.051682,1818745600
1985-09-01,0.066964,0.077009,0.065848,0.070313,0.054267,1797196800
1985-10-01,0.070313,0.085938,0.066964,0.083147,0.064172,3785913600
1985-11-01,0.083147,0.092634,0.083147,0.089844,0.069341,2884672000
1985-12-01,0.089844,0.102121,0.085938,0.098214,0.075801,3571209600
1986-01-01,0.098214,0.110491,0.097098,0.103237,0.079677,6291801600
1986-02-01,0.103237,0.119420,0.102121,0.111607,0.086137,3420860800
1986-03-01,0.111607,0.132254,0.108259,0.126116,0.097335,4264332800
1986-04-01,0.126116,0.146205,0.117188,0.135045,0.104226,4462684800
1986-05-01,0.135045,0.167411,0.132813,0.165179,0.127484,4954051200
1986-06-01,0.165179,0.174665,0.145089,0.160156,0.123607,4063360000
1986-07-01,0.160156,0.168527,0.133929,0.139509,0.107672,5691638400
1986-08-01,0.138951,0.169643,0.136719,0.165179,0.127484,3643516800
1986-09-01,0.165737,0.165737,0.141183,0.149554,0.115424,3578198400
1986-10-01,0.148996,0.157366,0.143973,0.154576,0.119300,2984038400
1986-11-01,0.155134,0.184152,0.151228,0.178571,0.137819,5206163200
1986-12-01,0.178571,0.195871,0.174665,0.180804,0.139543,4762576000
1987-01-01,0.180246,0.255580,0.179129,0.247768,0.191225,8268915200
1987-02-01,0.247768,0.318638,0.230469,0.312500,0.241185,6616176000
1987-03-01,0.313616,0.314732,0.277902,0.287946,0.222234,5959318400
1987-04-01,0.281250,0.357143,0.278460,0.353795,0.273055,6813161600
